Tamaño del input, Tiempo (ms)
153, 8
562, 129
186, 10
319, 33
448, 91
694, 203
369, 48
603, 154
418, 65
266, 22
445, 68
667, 158
296, 35
963, 376
803, 275
472, 109
894, 335
990, 375
588, 125
878, 279
368, 44
887, 292
132, 4
931, 329
721, 192
219, 14
781, 216
983, 352
390, 50
646, 146
354, 39
337, 35
229, 15
948, 325
411, 56
898, 291
948, 336
970, 374
661, 177
50, 0
89, 2
487, 82
390, 56
79, 1
201, 13
275, 29
943, 375
703, 177
635, 144
22, 0
706, 176
346, 38
535, 102
702, 209
310, 30
128, 4
731, 245
275, 34
18, 0
554, 139
810, 264
25, 0
21, 0
895, 328
746, 214
317, 32
885, 302
296, 29
887, 307
360, 44
228, 16
344, 39
308, 30
849, 275
792, 240
958, 353
405, 77
28, 0
421, 67
495, 104
298, 34
27, 0
32, 0
943, 364
300, 29
106, 3
752, 216
257, 21
954, 347
541, 107
872, 275
494, 82
303, 28
673, 171
823, 251
34, 0
635, 146
988, 360
460, 71
958, 353
128, 5
849, 268
322, 34
815, 293
483, 109
656, 170
729, 226
851, 300
355, 46
83, 1
132, 5
804, 258
151, 7
44, 0
846, 308
230, 16
508, 89
219, 14
36, 0
668, 160
468, 71
696, 177
556, 110
214, 14
327, 40
345, 42
221, 15
136, 5
650, 163
350, 41
504, 85
707, 191
198, 12
25, 0
2, 0
216, 15
449, 72
89, 2
109, 3
302, 31
533, 115
535, 110
933, 340
862, 289
889, 296
79, 1
401, 54
533, 127
318, 36
486, 79
153, 6
217, 14
740, 198
696, 193
46, 0
220, 14
896, 307
576, 156
673, 190
702, 183
986, 399
971, 370
324, 35
406, 59
375, 50
661, 160
122, 4
734, 194
812, 247
946, 338
784, 227
609, 131
691, 173
923, 323
532, 99
465, 73
320, 31
322, 39
411, 61
617, 138
717, 181
749, 202
143, 5
431, 61
23, 0
93, 2
485, 84
927, 333
843, 283
345, 42
31, 0
224, 16
65, 1
392, 61
191, 13
47, 0
802, 334
917, 338
891, 333
823, 317
505, 107
611, 151
863, 311
723, 206
772, 225
