Tamaño del input, Tiempo (ms)
153, 10
562, 144
186, 12
319, 41
448, 93
694, 213
369, 47
603, 167
418, 82
266, 30
445, 78
667, 167
296, 28
963, 377
803, 251
472, 74
894, 307
990, 362
588, 123
878, 284
368, 49
887, 318
132, 6
931, 344
721, 183
219, 14
781, 217
983, 353
390, 50
646, 148
354, 39
337, 35
229, 15
948, 327
411, 57
898, 291
948, 363
970, 391
661, 169
50, 0
89, 2
487, 86
390, 49
79, 1
201, 11
275, 24
943, 333
703, 177
635, 143
22, 0
706, 194
346, 43
535, 111
702, 194
310, 36
128, 4
731, 199
275, 24
18, 0
554, 106
810, 246
25, 0
21, 0
895, 422
746, 312
317, 48
885, 395
296, 37
887, 353
360, 48
228, 17
344, 42
308, 34
849, 274
792, 261
958, 372
405, 57
28, 0
421, 63
495, 81
298, 27
27, 0
32, 0
943, 340
300, 40
106, 4
752, 268
257, 25
954, 343
541, 100
872, 357
494, 128
303, 44
673, 248
823, 247
34, 0
635, 141
988, 387
460, 71
958, 346
128, 5
849, 275
322, 34
815, 244
483, 97
656, 159
729, 188
851, 264
355, 41
83, 1
132, 4
804, 234
151, 6
44, 0
846, 259
230, 16
508, 89
219, 14
36, 0
668, 153
468, 72
696, 180
556, 111
214, 14
327, 34
345, 38
221, 14
136, 5
650, 144
350, 38
504, 86
707, 173
198, 11
25, 0
2, 0
216, 13
449, 65
89, 2
109, 3
302, 31
533, 107
535, 98
933, 345
862, 296
889, 313
79, 1
401, 54
533, 114
318, 38
486, 96
153, 7
217, 16
740, 213
696, 199
46, 0
220, 17
896, 345
576, 149
673, 194
702, 196
986, 466
971, 391
324, 39
406, 63
375, 51
661, 173
122, 5
734, 236
812, 261
946, 372
784, 267
609, 141
691, 190
923, 320
532, 127
465, 86
320, 40
322, 40
411, 67
617, 147
717, 202
749, 224
143, 6
431, 65
23, 0
93, 2
485, 92
927, 368
843, 290
345, 40
31, 0
224, 15
65, 1
392, 59
191, 12
47, 0
802, 291
917, 374
891, 347
823, 272
505, 103
611, 145
863, 288
723, 210
772, 252
573, 119
546, 107
518, 95
739, 214
672, 171
332, 35
581, 128
499, 119
569, 138
578, 112
336, 35
444, 65
542, 98
557, 105
940, 385
595, 126
558, 107
533, 98
189, 10
490, 80
448, 67
821, 252
825, 258
799, 243
332, 38
379, 47
836, 264
53, 0
291, 26
274, 28
961, 345
888, 304
652, 151
537, 97
262, 21
734, 189
494, 85
769, 219
499, 94
445, 65
361, 46
7, 0
211, 13
496, 86
664, 161
647, 145
354, 41
83, 1
398, 52
9, 0
791, 225
286, 38
732, 255
795, 240
966, 348
710, 179
165, 7
834, 252
442, 87
691, 200
990, 368
255, 23
828, 253
575, 122
355, 39
887, 341
577, 137
147, 6
481, 82
588, 117
138, 5
562, 108
275, 29
633, 139
229, 15
806, 280
864, 310
457, 72
45, 0
201, 16
716, 188
533, 97
673, 188
348, 56
923, 338
652, 151
33, 0
454, 77
469, 73
569, 116
443, 64
113, 3
752, 206
350, 40
303, 34
88, 3
763, 250
39, 0
986, 370
992, 366
660, 154
805, 259
551, 115
836, 255
332, 36
460, 82
100, 2
256, 19
785, 233
691, 167
570, 133
834, 303
651, 153
15, 0
991, 372
628, 138
779, 217
205, 12
838, 299
64, 1
706, 228
456, 97
597, 173
70, 1
790, 245
586, 122
658, 164
300, 32
348, 46
866, 293
2, 0
721, 215
666, 160
326, 39
659, 170
982, 399
886, 319
402, 58
567, 119
781, 227
348, 49
350, 40
148, 6
829, 306
856, 302
488, 84
542, 103
456, 72
899, 362
334, 48
506, 102
729, 234
806, 313
821, 344
822, 287
887, 321
403, 55
157, 7
444, 75
285, 27
974, 405
710, 240
753, 223
123, 4
414, 58
873, 292
19, 0
307, 38
807, 269
595, 139
165, 8
713, 182
488, 83
266, 21
280, 25
48, 0
877, 284
729, 201
627, 139
331, 34
795, 227
378, 47
321, 31
484, 79
659, 157
70, 1
630, 139
525, 112
825, 339
643, 184
325, 39
661, 170
959, 379
118, 4
520, 99
144, 6
879, 323
741, 233
351, 45
383, 57
750, 219
93, 2
68, 1
937, 443
218, 21
119, 5
937, 402
397, 58
414, 57
124, 4
190, 12
292, 35
675, 196
617, 129
627, 134
822, 267
132, 5
115, 3
878, 290
504, 93
683, 186
726, 206
980, 379
349, 46
79, 1
281, 29
368, 48
706, 189
257, 22
559, 117
583, 133
390, 58
701, 201
385, 55
899, 349
917, 360
331, 41
65, 1
39, 0
123, 4
968, 395
285, 29
136, 5
546, 117
418, 71
561, 124
542, 109
953, 328
486, 80
41, 0
65, 1
864, 268
177, 9
768, 229
493, 97
11, 0
731, 224
221, 15
138, 6
154, 6
117, 3
828, 249
28, 0
650, 162
434, 63
625, 137
446, 64
834, 264
121, 5
772, 235
662, 162
295, 28
444, 64
881, 296
156, 7
497, 83
454, 73
750, 235
508, 89
577, 115
274, 24
450, 65
50, 0
235, 16
6, 0
606, 126
552, 103
306, 31
696, 167
87, 1
804, 268
55, 1
626, 169
870, 312
605, 164
222, 18
12, 0
221, 17
453, 88
179, 13
336, 53
857, 303
929, 336
262, 21
621, 136
737, 219
846, 335
279, 25
239, 17
285, 26
720, 185
83, 1
530, 93
390, 51
285, 24
884, 282
990, 361
26, 0
192, 11
38, 0
30, 0
768, 217
540, 103
599, 121
156, 7
746, 201
366, 44
839, 256
982, 354
389, 59
247, 25
292, 38
974, 474
409, 64
977, 372
418, 59
508, 87
505, 84
196, 11
397, 52
850, 264
407, 55
684, 163
671, 160
53, 0
572, 134
316, 45
92, 3
794, 245
390, 71
427, 83
488, 100
611, 142
595, 134
570, 129
48, 0
822, 281
152, 7
239, 18
667, 162
97, 2
555, 114
708, 182
748, 203
724, 206
199, 18
824, 317
402, 65
159, 8
35, 0
411, 55
708, 178
579, 114
868, 324
989, 459
224, 21
585, 150
575, 124
800, 272
634, 148
160, 7
271, 23
314, 33
716, 214
869, 335
603, 140
353, 41
164, 7
297, 28
158, 7
904, 306
608, 133
450, 69
875, 281
35, 0
991, 364
353, 41
769, 212
424, 60
879, 279
881, 282
507, 95
820, 242
312, 34
658, 165
551, 102
2, 0
583, 119
824, 244
776, 217
887, 288
676, 164
917, 406
253, 20
717, 191
740, 222
407, 55
293, 35
94, 3
773, 313
281, 35
145, 8
674, 172
405, 77
979, 431
330, 51
260, 30
323, 48
110, 4
533, 128
422, 59
959, 338
518, 92
27, 0
199, 11
93, 2
667, 156
157, 7
305, 28
533, 102
221, 19
913, 319
618, 135
502, 95
82, 1
742, 195
942, 326
478, 78
238, 16
533, 97
916, 322
875, 304
301, 29
615, 137
178, 9
329, 37
370, 48
805, 253
838, 300
372, 48
70, 1
222, 15
819, 259
656, 153
512, 86
655, 150
841, 280
879, 321
764, 234
123, 5
827, 287
527, 110
254, 23
13, 0
316, 32
795, 226
617, 144
210, 17
883, 298
172, 8
416, 67
334, 41
715, 182
911, 360
606, 128
416, 56
81, 1
932, 347
398, 58
26, 0
928, 328
149, 7
328, 38
837, 268
187, 10
169, 8
303, 29
424, 59
26, 0
283, 24
221, 14
413, 58
966, 373
380, 50
238, 18
595, 142
414, 67
808, 274
562, 132
373, 53
252, 25
43, 0
624, 159
345, 40
881, 298
327, 41
647, 187
390, 52
976, 375
960, 356
722, 207
386, 55
834, 276
817, 261
771, 226
510, 90
379, 50
882, 316
366, 62
920, 429
981, 395
386, 65
798, 249
160, 7
6, 0
162, 8
315, 34
587, 157
279, 32
225, 19
766, 241
1000, 420
222, 15
669, 188
989, 399
795, 237
227, 17
28, 0
28, 0
618, 146
584, 124
879, 289
